Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,921.05,954.50,910.70,932.95,207400,932.95
2016-06-01,863.00,923.90,847.50,918.50,290600,918.50
2016-05-02,842.00,866.35,787.20,861.35,257100,861.35
2016-04-01,829.85,867.35,810.95,840.85,227700,840.85
2016-03-01,829.80,858.70,790.05,830.85,440600,827.851
2016-02-01,869.00,870.60,808.20,820.40,289200,817.439
2016-01-01,973.00,982.45,846.55,857.95,500400,854.853
2015-12-01,974.00,1009.45,957.15,972.85,233700,969.338
2015-11-02,963.90,975.50,908.90,970.85,200100,964.327
2015-10-01,962.00,994.90,895.10,955.35,298300,944.897
2015-09-01,1930.00,1965.00,927.00,961.50,418600,950.98
2015-08-03,1997.85,2058.20,1852.00,1954.80,398000,966.706
2015-07-01,2030.24,2100.00,1948.00,1989.85,581800,984.039
2015-06-01,1992.00,2048.80,1861.00,2039.76,263900,1008.721
2015-05-01,1988.20,2113.44,1950.05,2003.80,331300,990.938
2015-04-01,2003.40,2198.00,1910.00,1988.20,291300,983.223
2015-03-02,1955.40,2139.00,1925.00,2014.30,314600,988.539
2015-02-02,1880.00,1995.00,1801.00,1921.10,275700,942.80
2015-01-01,1786.00,1976.90,1786.00,1875.55,424500,920.446
2014-12-01,1855.00,1939.30,1701.55,1785.50,316400,876.253
2014-11-03,1691.10,2049.00,1685.00,1861.20,436900,905.299
2014-10-01,1749.00,1769.00,1675.25,1690.40,176400,822.221
2014-09-01,1540.25,1753.40,1522.00,1742.55,360600,847.587
2014-08-01,1566.20,1588.45,1441.00,1536.10,399400,739.875
2014-07-01,1510.10,1700.00,1505.00,1566.20,198500,754.373
2014-06-02,1386.85,1594.95,1380.50,1508.55,164000,726.606
2014-05-01,1434.70,1448.95,1325.00,1386.85,165600,667.988
2014-04-01,1374.95,1499.00,1338.15,1434.70,135000,691.035
2014-03-03,1311.10,1391.20,1304.35,1372.50,126500,652.406
2014-02-03,1262.00,1339.00,1262.00,1313.55,101400,624.385
2014-01-01,1363.00,1385.00,1278.00,1299.80,171500,617.849
