Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,6191.05,6292.00,6067.95,6156.30,46400,6040.52
2014-11-28,6200.00,6300.00,6160.00,6204.05,19500,6087.37
2014-11-27,6239.00,6309.85,6202.00,6225.70,10700,6108.62
2014-11-26,6338.55,6410.00,6240.00,6260.35,15700,6142.62
2014-11-25,6280.00,6435.70,6269.95,6338.55,56100,6219.34
2014-11-24,6273.50,6319.00,6201.00,6304.05,13800,6185.49
2014-11-21,6110.05,6345.00,6110.05,6336.40,26500,6217.24
2014-11-20,6100.00,6179.00,6050.00,6158.90,16400,6043.07
2014-11-19,6125.00,6238.75,6039.00,6078.20,20800,5963.89
2014-11-18,6292.20,6344.55,6140.00,6159.55,26600,6043.71
2014-11-17,6333.70,6337.00,6220.00,6292.20,13600,6173.87
2014-11-14,6330.00,6375.00,6280.00,6316.50,10900,6197.71
2014-11-13,6355.00,6398.15,6283.00,6332.60,16200,6213.51
2014-11-12,6491.00,6491.00,6305.85,6327.50,18000,6208.50
2014-11-11,6353.00,6500.00,6344.75,6465.65,16900,6344.05
2014-11-10,6447.00,6450.00,6300.00,6351.90,12600,6232.44
2014-11-07,6379.90,6450.00,6257.00,6434.15,18100,6313.15
2014-11-06,6353.55,6353.55,6353.55,6353.55,000,6234.06
2014-11-05,6400.00,6400.00,6280.10,6353.55,16100,6234.06
2014-11-04,6362.65,6362.65,6362.65,6362.65,000,6242.99
2014-11-03,6261.00,6402.00,6167.05,6362.65,32900,6242.99
2014-10-31,6133.00,6300.00,6099.95,6257.20,29400,6139.52
2014-10-30,6061.20,6189.90,6061.20,6133.15,20300,6017.81
2014-10-29,5947.00,6150.00,5925.15,6128.50,36900,6013.24
2014-10-28,6142.00,6149.90,5920.00,5948.05,20300,5836.19
2014-10-27,6010.00,6139.00,6001.00,6099.90,25100,5985.18
2014-10-24,6009.65,6009.65,6009.65,6009.65,000,5896.63
2014-10-23,6020.00,6022.00,5970.00,6009.65,2000,5896.63
2014-10-22,6001.45,6036.95,5911.35,5971.75,7600,5859.44
2014-10-21,5731.00,5995.00,5731.00,5969.85,21500,5857.58
2014-10-20,5705.05,5794.00,5705.05,5768.90,10600,5660.41
