Date,Open,High,Low,Close,Volume,Adj Close
2016-07-19,6611.15,6690.05,6571.00,6642.70,45600,6642.70
2016-07-18,6633.00,6664.90,6560.00,6618.65,39400,6618.65
2016-07-15,6575.00,6666.60,6560.95,6632.95,44800,6632.95
2016-07-14,6575.05,6590.00,6530.00,6567.00,23700,6567.00
2016-07-13,6454.95,6592.80,6454.00,6581.20,83000,6581.20
2016-07-12,6487.00,6498.00,6421.00,6427.25,32800,6427.25
2016-07-11,6449.50,6506.05,6416.80,6487.20,43800,6487.20
2016-07-08,6510.00,6539.75,6390.00,6412.15,37800,6412.15
2016-07-07,6510.00,6550.00,6480.00,6511.30,11900,6511.30
2016-07-06,6532.90,6532.90,6532.90,6532.90,000,6532.90
2016-07-05,6502.00,6549.70,6502.00,6532.90,20300,6532.90
2016-07-04,6499.00,6560.00,6496.50,6528.00,15000,6528.00
2016-07-01,6514.90,6540.00,6456.15,6509.70,22100,6509.70
2016-06-30,6444.40,6545.00,6444.40,6492.35,125400,6492.35
2016-06-29,6484.00,6500.00,6422.35,6444.55,12400,6444.55
2016-06-28,6449.00,6505.95,6449.00,6493.80,41800,6493.80
2016-06-27,6400.00,6534.50,6400.00,6447.80,17100,6447.80
2016-06-24,6306.25,6526.60,6200.00,6496.50,21100,6496.50
2016-06-23,6513.00,6533.00,6401.00,6431.75,26100,6431.75
2016-06-22,6540.00,6555.00,6450.00,6489.55,20000,6489.55
2016-06-21,6562.00,6599.45,6482.30,6537.40,18200,6537.40
2016-06-20,6444.00,6599.00,6443.10,6548.15,29400,6548.15
2016-06-17,6500.00,6550.00,6438.05,6464.20,22100,6464.20
2016-06-16,6492.00,6555.00,6470.00,6490.75,33000,6490.75
2016-06-15,6570.00,6591.90,6456.15,6492.10,31300,6492.10
2016-06-14,6525.00,6599.00,6525.00,6589.05,17800,6589.05
2016-06-13,6475.00,6589.00,6454.35,6538.00,28500,6538.00
2016-06-10,6453.30,6600.00,6433.00,6544.15,27400,6544.15
2016-06-09,6476.00,6545.00,6400.00,6431.05,16200,6431.05
2016-06-08,6473.90,6541.65,6381.10,6480.90,26400,6480.90
2016-06-07,6520.00,6699.00,6374.10,6450.25,64100,6450.25
2016-06-06,6275.30,6705.00,6156.15,6479.40,75900,6479.40
2016-06-03,6375.00,6375.00,6265.00,6305.20,35300,6305.20
2016-06-02,6348.90,6390.10,6256.00,6302.05,72700,6302.05
2016-06-01,6116.00,6449.00,6109.05,6390.80,63700,6390.80
2016-05-31,6280.00,6354.85,6002.00,6097.35,75800,6097.35
