Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,28.709999,28.93,27.360001,28.35,2567900,28.35
2016-07-14,28.50,28.889999,28.23,28.440001,1826400,28.440001
2016-07-13,28.01,28.74,28.00,28.42,1557300,28.42
2016-07-12,29.209999,29.49,27.309999,28.58,3884900,28.58
2016-07-11,29.549999,29.60,28.799999,29.35,2996500,29.35
2016-07-08,29.75,29.75,28.74,29.07,4889200,29.07
2016-07-07,28.299999,28.52,28.040001,28.290001,1823900,28.290001
2016-07-06,27.799999,28.389999,27.690001,28.33,2070600,28.33
2016-07-05,28.139999,28.200001,27.459999,27.799999,2844100,27.799999
2016-07-01,27.209999,27.940001,26.84,27.77,2853200,27.77
2016-06-30,26.75,27.33,26.639999,27.18,2051600,27.18
2016-06-29,26.450001,26.690001,26.23,26.66,2240300,26.66
2016-06-28,25.639999,26.24,25.620001,26.059999,1733100,26.059999
2016-06-27,25.84,26.379999,25.23,25.610001,2912900,25.610001
2016-06-24,24.07,25.92,23.889999,25.84,3909200,25.84
2016-06-23,25.74,25.83,25.110001,25.33,2260400,25.33
2016-06-22,24.790001,25.700001,24.76,25.48,3049600,25.48
2016-06-21,24.299999,24.84,24.120001,24.76,2810100,24.76
2016-06-20,23.950001,24.50,23.66,24.209999,4054800,24.209999
2016-06-17,24.110001,24.15,23.049999,23.65,11598800,23.65
2016-06-16,21.82,21.98,21.309999,21.75,3853800,21.75
2016-06-15,21.889999,22.09,21.42,21.48,2553100,21.48
2016-06-14,23.34,23.35,21.389999,21.860001,4760300,21.860001
2016-06-13,23.40,23.889999,22.50,22.879999,8216600,22.879999
2016-06-10,21.799999,22.139999,21.299999,21.41,1443200,21.41
2016-06-09,21.690001,22.540001,21.50,22.01,2508000,22.01
2016-06-08,21.50,22.379999,21.15,21.73,2353100,21.73
2016-06-07,21.59,21.700001,21.110001,21.52,2220100,21.52
2016-06-06,22.74,22.969999,21.360001,21.540001,3902800,21.540001
2016-06-03,24.379999,24.790001,22.389999,22.68,5314000,22.68
2016-06-02,24.50,24.60,24.190001,24.41,1273400,24.41
2016-06-01,24.309999,24.790001,24.209999,24.60,1476000,24.60
2016-05-31,24.07,24.43,24.01,24.370001,880100,24.370001
2016-05-27,24.26,24.33,23.799999,24.00,1043300,24.00
2016-05-26,23.82,24.379999,23.75,24.26,1065900,24.26
2016-05-25,23.860001,24.00,23.51,23.74,1196700,23.74
2016-05-24,23.15,23.959999,23.15,23.799999,1171300,23.799999
2016-05-23,23.15,23.360001,23.049999,23.07,819600,23.07
2016-05-20,22.93,23.15,22.82,23.15,871000,23.15
2016-05-19,22.389999,22.940001,22.33,22.879999,780000,22.879999
2016-05-18,22.52,22.799999,22.16,22.43,689500,22.43
2016-05-17,22.959999,23.139999,22.43,22.60,921000,22.60
2016-05-16,22.67,23.18,22.620001,23.07,698200,23.07
2016-05-13,22.82,23.040001,22.58,22.719999,560200,22.719999
2016-05-12,22.76,22.93,22.60,22.85,747200,22.85
2016-05-11,22.950001,23.00,22.530001,22.76,1215900,22.76
2016-05-10,23.16,23.33,22.75,23.08,1010200,23.08
2016-05-09,22.23,23.299999,22.10,23.120001,1578300,23.120001
2016-05-06,22.77,22.799999,21.889999,22.16,1707400,22.16
2016-05-05,22.67,23.02,22.450001,22.870001,942900,22.870001
2016-05-04,23.02,23.209999,22.25,22.66,1494900,22.66
2016-05-03,23.50,23.50,22.50,23.17,2316200,23.17
2016-05-02,21.799999,23.08,21.75,22.84,2083400,22.84
2016-04-29,21.93,22.00,21.58,21.83,1172500,21.83
2016-04-28,22.280001,22.469999,21.870001,21.93,1055600,21.93
2016-04-27,22.35,22.66,22.16,22.48,1437000,22.48
2016-04-26,22.129999,22.50,22.01,22.370001,1406000,22.370001
2016-04-25,22.25,22.389999,22.059999,22.18,919700,22.18
2016-04-22,21.90,22.459999,21.799999,22.40,1145200,22.40
2016-04-21,22.299999,22.32,21.799999,21.85,975600,21.85
2016-04-20,22.200001,22.440001,22.200001,22.24,1109800,22.24
2016-04-19,22.42,22.50,22.01,22.26,1205700,22.26
2016-04-18,21.620001,22.379999,21.389999,22.32,1939000,22.32
2016-04-15,22.620001,22.690001,21.799999,21.969999,2962800,21.969999
2016-04-14,22.559999,22.91,22.25,22.66,2083700,22.66
2016-04-13,22.75,22.98,22.33,22.639999,2047700,22.639999
2016-04-12,22.809999,22.959999,22.290001,22.700001,2430800,22.700001
2016-04-11,23.299999,23.440001,22.83,22.860001,1774600,22.860001
2016-04-08,23.799999,23.84,23.02,23.280001,1809500,23.280001
2016-04-07,23.379999,23.879999,23.219999,23.690001,2025400,23.690001
2016-04-06,23.549999,24.110001,23.290001,23.49,2927900,23.49
2016-04-05,22.809999,23.76,22.809999,23.35,4730500,23.35
2016-04-04,25.91,25.92,22.450001,22.780001,14233900,22.780001
2016-04-01,26.50,27.77,26.35,27.76,2832200,27.76
2016-03-31,26.889999,27.15,26.559999,26.620001,1415100,26.620001
2016-03-30,27.450001,27.50,26.559999,27.00,2484400,27.00
2016-03-29,26.940001,27.469999,26.370001,27.33,2323300,27.33
2016-03-28,26.959999,27.889999,26.60,26.92,3350400,26.92
2016-03-24,28.85,28.90,26.10,26.52,5354500,26.52
2016-03-23,29.40,29.68,29.02,29.049999,1357400,29.049999
2016-03-22,29.50,29.59,29.129999,29.23,1613600,29.23
2016-03-21,28.950001,29.860001,28.620001,29.24,2165600,29.24
2016-03-18,29.610001,30.440001,29.18,29.280001,3102200,29.280001
2016-03-17,28.549999,29.52,28.370001,29.370001,2378100,29.370001
2016-03-16,28.00,28.559999,27.799999,28.52,1417900,28.52
2016-03-15,28.209999,28.559999,28.02,28.129999,1498200,28.129999
2016-03-14,28.26,28.719999,28.10,28.370001,1780700,28.370001
2016-03-11,28.15,28.25,27.610001,28.110001,1619900,28.110001
